run_id,experiment,model_name,started_at,ended_at,param_ccp_alpha,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,metric_cv_MAE,metric_cv_MAE_std,tag_phase,tag_stage,metric_MAE,metric_RMSE,metric_R2,metric_best_cv_MAE,param_bootstrap,param_n_estimators
be855a16,phase4_tuning,Decision Tree,2026-09-08T18:34:13.489657+00:00,2026-09-08T18:34:13.489672+00:00,0.0074908023769472,16,log2,8,22,0.3905141896568568,0.0137871275456911,phase4_tuning,cv_trial,,,,,,
fa78d94b,phase4_tuning,Decision Tree,2026-09-08T18:34:14.467739+00:00,2026-09-08T18:34:14.467756+00:00,0.0031203728088487,12,log2,4,25,0.34359056530908,0.0307925102713234,phase4_tuning,cv_trial,,,,,,
159a55b4,phase4_tuning,Decision Tree,2026-09-08T18:34:14.507665+00:00,2026-09-08T18:34:14.507682+00:00,0.013017769458977,3,0.5,6,3,0.3245397784459017,0.0294911912037085,phase4_tuning,cv_trial,,,,,,
0166c411,phase4_tuning,Decision Tree,2026-09-08T18:34:14.539691+00:00,2026-09-08T18:34:14.539705+00:00,0.003636499344142,2,0.5,12,26,0.3476753537132175,0.0330927663592437,phase4_tuning,cv_trial,,,,,,
cdefb449,phase4_tuning,Decision Tree,2026-09-08T18:34:14.572166+00:00,2026-09-08T18:34:14.572182+00:00,0.0058245828039608,11,0.5,16,16,0.3304992194399186,0.0255747112958926,phase4_tuning,cv_trial,,,,,,
2e637b86,phase4_tuning,Decision Tree,2026-09-08T18:34:14.604473+00:00,2026-09-08T18:34:14.604486+00:00,0.0091213996843407,16,0.9,19,4,0.3443676263289564,0.0331603950152316,phase4_tuning,cv_trial,,,,,,
1c41d5c4,phase4_tuning,Decision Tree,2026-09-08T18:34:14.637616+00:00,2026-09-08T18:34:14.637631+00:00,0.0171988081347264,8,0.7,9,19,0.3247494141397725,0.0596916339938099,phase4_tuning,cv_trial,,,,,,
ed536e03,phase4_tuning,Decision Tree,2026-09-08T18:34:14.672812+00:00,2026-09-08T18:34:14.672826+00:00,0.0189777107450666,15,sqrt,9,27,0.4019870928454023,0.0594351035863209,phase4_tuning,cv_trial,,,,,,
02b42e31,phase4_tuning,Decision Tree,2026-09-08T18:34:14.709263+00:00,2026-09-08T18:34:14.709277+00:00,0.0019534422801276,16,0.5,7,9,0.2539362268220096,0.052050011946244,phase4_tuning,cv_trial,,,,,,
39dc6b54,phase4_tuning,Decision Tree,2026-09-08T18:34:14.743610+00:00,2026-09-08T18:34:14.743627+00:00,0.0006877704223043,15,,4,5,0.1715050441104248,0.0585538011816148,phase4_tuning,cv_trial,,,,,,
1c7e0fd2,phase4_tuning,Decision Tree,2026-09-08T18:34:14.777663+00:00,2026-09-08T18:34:14.777676+00:00,0.0062342215217882,7,0.9,10,5,0.2896673362651465,0.0457625219016297,phase4_tuning,cv_trial,,,,,,
8f918e0f,phase4_tuning,Decision Tree,2026-09-08T18:34:14.811743+00:00,2026-09-08T18:34:14.811756+00:00,0.0036970891105105,19,sqrt,12,35,0.3659692653585322,0.0301492333633188,phase4_tuning,cv_trial,,,,,,
78060ca0,phase4_tuning,Decision Tree,2026-09-08T18:34:14.845812+00:00,2026-09-08T18:34:14.845824+00:00,0.0079030047200362,5,0.9,16,16,0.3259695048999548,0.0370879361252004,phase4_tuning,cv_trial,,,,,,
46fa7300,phase4_tuning,Decision Tree,2026-09-08T18:34:14.878523+00:00,2026-09-08T18:34:14.878537+00:00,0.0017698500410383,9,0.7,16,19,0.2874262111602124,0.0331383524593524,phase4_tuning,cv_trial,,,,,,
11b13ccb,phase4_tuning,Decision Tree,2026-09-08T18:34:14.910614+00:00,2026-09-08T18:34:14.910626+00:00,0.0107938426477815,14,,15,2,0.3456522764152144,0.0293360757843917,phase4_tuning,cv_trial,,,,,,
25b90fe1,phase4_tuning,Decision Tree,2026-09-08T18:34:14.943048+00:00,2026-09-08T18:34:14.943063+00:00,0.0003127281348238,10,,12,9,0.2783843013370868,0.0353450434767223,phase4_tuning,cv_trial,,,,,,
730005e5,phase4_tuning,Decision Tree,2026-09-08T18:34:14.974948+00:00,2026-09-08T18:34:14.974962+00:00,0.000110442342472,12,log2,17,9,0.3623205812865278,0.0387745190664256,phase4_tuning,cv_trial,,,,,,
227abddb,phase4_tuning,Decision Tree,2026-09-08T18:34:15.007494+00:00,2026-09-08T18:34:15.007508+00:00,0.0145801433608197,2,log2,5,29,0.5783237404341628,0.0123926527474804,phase4_tuning,cv_trial,,,,,,
d54d604b,phase4_tuning,Decision Tree,2026-09-08T18:34:15.039173+00:00,2026-09-08T18:34:15.039186+00:00,0.0172620685175118,9,0.5,2,34,0.3273469514207573,0.055953532780034,phase4_tuning,cv_trial,,,,,,
9ce8ec65,phase4_tuning,Decision Tree,2026-09-08T18:34:15.072166+00:00,2026-09-08T18:34:15.072179+00:00,0.0012711670057204,6,log2,12,23,0.3972568038913205,0.0437094910257625,phase4_tuning,cv_trial,,,,,,
0b8195c5,phase4_tuning,Decision Tree,2026-09-08T18:34:15.104590+00:00,2026-09-08T18:34:15.104602+00:00,0.0177442548515265,2,log2,5,15,0.5783237404341628,0.0123926527474804,phase4_tuning,cv_trial,,,,,,
b81a9150,phase4_tuning,Decision Tree,2026-09-08T18:34:15.136258+00:00,2026-09-08T18:34:15.136282+00:00,0.0169782764853216,6,sqrt,14,28,0.4330588056803123,0.0409887457105693,phase4_tuning,cv_trial,,,,,,
33022446,phase4_tuning,Decision Tree,2026-09-08T18:34:15.168774+00:00,2026-09-08T18:34:15.168784+00:00,0.0104546565876398,16,sqrt,10,14,0.3667555089327766,0.0571204593713746,phase4_tuning,cv_trial,,,,,,
b984d98d,phase4_tuning,Decision Tree,2026-09-08T18:34:15.199706+00:00,2026-09-08T18:34:15.199717+00:00,0.0040343840467079,8,,4,31,0.2351540151732329,0.0370595048226071,phase4_tuning,cv_trial,,,,,,
b7321742,phase4_tuning,Decision Tree,2026-09-08T18:34:15.233014+00:00,2026-09-08T18:34:15.233029+00:00,0.0027866290881175,8,0.7,15,30,0.2982905130149229,0.0275078356796604,phase4_tuning,cv_trial,,,,,,
b7599f25,phase4_tuning,Decision Tree,2026-09-08T18:34:15.268085+00:00,2026-09-08T18:34:15.268122+00:00,0.0045759633098324,8,log2,19,23,0.381964933474283,0.033293111125711,phase4_tuning,cv_trial,,,,,,
a2f2c749,phase4_tuning,Decision Tree,2026-09-08T18:34:15.302128+00:00,2026-09-08T18:34:15.302143+00:00,0.0176093567803051,11,0.7,6,29,0.2996385860091247,0.0408746772332257,phase4_tuning,cv_trial,,,,,,
e1fb668f,phase4_tuning,Decision Tree,2026-09-08T18:34:15.335349+00:00,2026-09-08T18:34:15.335363+00:00,0.0160734415379822,13,0.5,11,29,0.3268057715616414,0.0361698946031143,phase4_tuning,cv_trial,,,,,,
e30eba4d,phase4_tuning,Decision Tree,2026-09-08T18:34:15.369817+00:00,2026-09-08T18:34:15.369830+00:00,0.0071259567615394,2,,13,4,0.3049568009685879,0.0257559107997499,phase4_tuning,cv_trial,,,,,,
da883554,phase4_tuning,Decision Tree,2026-09-08T18:34:15.404432+00:00,2026-09-08T18:34:15.404445+00:00,0.0001390426106238,9,log2,9,38,0.3623534466934549,0.0570170091367366,phase4_tuning,cv_trial,,,,,,
aa04b70c,phase4_tuning,Decision Tree,2026-09-08T18:34:15.436602+00:00,2026-09-08T18:34:15.436616+00:00,0.0138487206578054,11,0.5,15,33,0.3287412161916019,0.0414554074722656,phase4_tuning,cv_trial,,,,,,
db1c3622,phase4_tuning,Decision Tree,2026-09-08T18:34:15.469467+00:00,2026-09-08T18:34:15.469481+00:00,0.0103758124348673,10,0.5,17,13,0.3293542711672931,0.0352404520368029,phase4_tuning,cv_trial,,,,,,
4c751839,phase4_tuning,Decision Tree,2026-09-08T18:34:15.503892+00:00,2026-09-08T18:34:15.503976+00:00,0.0050356459165072,3,log2,17,38,0.4670815809966468,0.0518939277949853,phase4_tuning,cv_trial,,,,,,
5ba79ebe,phase4_tuning,Decision Tree,2026-09-08T18:34:15.545214+00:00,2026-09-08T18:34:15.545228+00:00,0.0056968098875493,18,log2,17,3,0.3717929986771569,0.0275958987731366,phase4_tuning,cv_trial,,,,,,
12b08586,phase4_tuning,Decision Tree,2026-09-08T18:34:15.582831+00:00,2026-09-08T18:34:15.582845+00:00,0.0100535804645772,6,,1,20,0.3030525307581183,0.0292771945258322,phase4_tuning,cv_trial,,,,,,
70f23350,phase4_tuning,Decision Tree,2026-09-08T18:34:15.618830+00:00,2026-09-08T18:34:15.618843+00:00,0.0136141090310953,13,sqrt,6,33,0.361104448733366,0.0349510422744814,phase4_tuning,cv_trial,,,,,,
430cde5f,phase4_tuning,Decision Tree,2026-09-08T18:34:15.654984+00:00,2026-09-08T18:34:15.655000+00:00,0.0118539344775878,12,log2,17,39,0.388429584287717,0.0377581573604019,phase4_tuning,cv_trial,,,,,,
b1d1ea38,phase4_tuning,Decision Tree,2026-09-08T18:34:15.702582+00:00,2026-09-08T18:34:15.702597+00:00,0.007355662654385,3,0.9,11,17,0.3364148392979881,0.0307383923759634,phase4_tuning,cv_trial,,,,,,
36124d0f,phase4_tuning,Decision Tree,2026-09-08T18:34:15.749905+00:00,2026-09-08T18:34:15.749927+00:00,0.0167060499117847,7,0.7,3,21,0.3220278586695471,0.0441843125391144,phase4_tuning,cv_trial,,,,,,
26d3efa8,phase4_tuning,Decision Tree,2026-09-08T18:34:15.791973+00:00,2026-09-08T18:34:15.791988+00:00,0.0065191781040376,5,log2,3,20,0.3611905707947233,0.0318988161308766,phase4_tuning,cv_trial,,,,,,
9517b292,phase4_tuning,Decision Tree,2026-09-08T18:34:15.842745+00:00,2026-09-08T18:34:15.842765+00:00,0.0069733197458345,8,0.5,9,34,0.3235127678814739,0.0249327713136379,phase4_tuning,cv_trial,,,,,,
8c759fbd,phase4_tuning,Decision Tree,2026-09-08T18:34:15.881731+00:00,2026-09-08T18:34:15.881745+00:00,0.0079514404217504,8,sqrt,8,2,0.3547723141411932,0.0633175137444909,phase4_tuning,cv_trial,,,,,,
73906e9b,phase4_tuning,Decision Tree,2026-09-08T18:34:15.916856+00:00,2026-09-08T18:34:15.916870+00:00,0.0135138023407856,19,0.9,10,36,0.3301614084022433,0.0308339745266821,phase4_tuning,cv_trial,,,,,,
8a808565,phase4_tuning,Decision Tree,2026-09-08T18:34:15.953318+00:00,2026-09-08T18:34:15.953338+00:00,0.0045710004359459,17,sqrt,16,3,0.3802344312840833,0.0331416394296712,phase4_tuning,cv_trial,,,,,,
6c119802,phase4_tuning,Decision Tree,2026-09-08T18:34:15.990308+00:00,2026-09-08T18:34:15.990332+00:00,0.0199250739951584,13,0.7,5,33,0.320678900770267,0.0239213905642628,phase4_tuning,cv_trial,,,,,,
e30f3456,phase4_tuning,Decision Tree,2026-09-08T18:34:16.025642+00:00,2026-09-08T18:34:16.025656+00:00,0.0126620291454653,10,,3,20,0.3080354680983702,0.0343905741497243,phase4_tuning,cv_trial,,,,,,
2960cbae,phase4_tuning,Decision Tree,2026-09-08T18:34:16.060618+00:00,2026-09-08T18:34:16.060632+00:00,0.0145191135774047,4,0.5,1,25,0.3107821810038305,0.0241712581167252,phase4_tuning,cv_trial,,,,,,
3bc99a00,phase4_tuning,Decision Tree,2026-09-08T18:34:16.095975+00:00,2026-09-08T18:34:16.095989+00:00,0.0170185689753502,18,0.5,6,21,0.3302651611293788,0.0619036456846292,phase4_tuning,cv_trial,,,,,,
e722df7e,phase4_tuning,Decision Tree,2026-09-08T18:34:16.136082+00:00,2026-09-08T18:34:16.136119+00:00,0.011613732428729,17,0.9,3,26,0.3026136635701603,0.0395988180221326,phase4_tuning,cv_trial,,,,,,
9b9b21bf,phase4_tuning,Decision Tree,2026-09-08T18:34:16.176706+00:00,2026-09-08T18:34:16.176719+00:00,0.0001012316769243,15,sqrt,2,36,0.290674851047541,0.0520014914788768,phase4_tuning,cv_trial,,,,,,
8e73a0c6,phase4_tuning,Decision Tree,2026-09-08T18:34:16.218235+00:00,2026-09-08T18:34:16.218248+00:00,0.013039225190052,10,0.5,1,5,0.3207659904602433,0.0454645286669755,phase4_tuning,cv_trial,,,,,,
b69adfa7,phase4_tuning,Decision Tree,2026-09-08T18:34:16.261061+00:00,2026-09-08T18:34:16.261077+00:00,0.004744981749936,17,0.5,8,8,0.3011155024368957,0.0396303586861864,phase4_tuning,cv_trial,,,,,,
56a18789,phase4_tuning,Decision Tree,2026-09-08T18:34:16.303040+00:00,2026-09-08T18:34:16.303055+00:00,0.0144187984850425,2,0.5,19,23,0.3476753537132175,0.0330927663592437,phase4_tuning,cv_trial,,,,,,
816c1026,phase4_tuning,Decision Tree,2026-09-08T18:34:16.343383+00:00,2026-09-08T18:34:16.343398+00:00,0.0053040473536345,15,0.9,6,39,0.2600059187123854,0.0522431860130627,phase4_tuning,cv_trial,,,,,,
c19fdd5c,phase4_tuning,Decision Tree,2026-09-08T18:34:16.382967+00:00,2026-09-08T18:34:16.382981+00:00,0.0078619544933352,9,log2,2,22,0.3905284860779333,0.0398557346919715,phase4_tuning,cv_trial,,,,,,
4ff02a2b,phase4_tuning,Decision Tree,2026-09-08T18:34:16.418501+00:00,2026-09-08T18:34:16.418523+00:00,0.0100527418621038,16,,5,20,0.3018019295075169,0.0311870263871542,phase4_tuning,cv_trial,,,,,,
ada17570,phase4_tuning,Decision Tree,2026-09-08T18:34:16.455999+00:00,2026-09-08T18:34:16.456017+00:00,0.0114400839841836,18,,12,29,0.3430298075955625,0.0270009227752594,phase4_tuning,cv_trial,,,,,,
77f1d745,phase4_tuning,Decision Tree,2026-09-08T18:34:16.493224+00:00,2026-09-08T18:34:16.493237+00:00,0.0093988902798188,15,0.7,6,36,0.3134272203705152,0.022380101098512,phase4_tuning,cv_trial,,,,,,
29fbcbcf,phase4_tuning,Decision Tree,2026-09-08T18:34:16.530055+00:00,2026-09-08T18:34:16.530069+00:00,0.0149543754779482,6,0.7,17,32,0.3093939475998602,0.029508366154487,phase4_tuning,cv_trial,,,,,,
7a563161,phase4_tuning,Decision Tree,2026-09-08T18:34:16.564064+00:00,2026-09-08T18:34:16.564077+00:00,0.019272399541785,2,0.5,1,4,0.3476753537132175,0.0330927663592437,phase4_tuning,cv_trial,,,,,,
b93b4330,phase4_tuning,Decision Tree,2026-09-08T18:34:16.603209+00:00,2026-09-08T18:34:16.603223+00:00,0.0006877704223043,15,,4,5,,,phase4_tuning,best_of_search,0.216980976920992,0.3889235358064076,0.872757774823095,0.1715050441104248,,
52199863,phase4_tuning,Random Forest,2026-09-08T18:35:58.284411+00:00,2026-09-08T18:35:58.284429+00:00,,22,0.7,15,9,0.3011397615449769,0.0361062875768487,phase4_tuning,cv_trial,,,,,True,120.0
fb73a390,phase4_tuning,Random Forest,2026-09-08T18:35:58.323715+00:00,2026-09-08T18:35:58.323730+00:00,,28,log2,11,12,0.354638485479937,0.0272934082253559,phase4_tuning,cv_trial,,,,,True,187.0
352eec80,phase4_tuning,Random Forest,2026-09-08T18:35:58.356056+00:00,2026-09-08T18:35:58.356070+00:00,,6,log2,2,25,0.3195519106887214,0.0281876676534565,phase4_tuning,cv_trial,,,,,True,591.0
