Country,n_rows,MAE,RMSE,R2,reliable_n
India,7,0.012236767216847078,0.02545484037998124,0.9991644869463224,True
France,6,0.050132802124834175,0.09962483128659984,0.0,True
USA,6,0.3393094289508632,0.5671416545755221,0.03505103093601725,True
Ireland,5,0.14023904382470126,0.31004105909711116,0.39921588546213493,True
South Korea,5,0.04501992031872515,0.07001644905338616,0.9693606053872161,True
Italy,5,0.6254980079681273,0.7336553594876656,0.4393227223906502,True
Germany,4,0.3720119521912353,0.548195263872812,-0.6027629191071042,False
New Zealand,4,1.249003984063745,1.4114188959864538,0.0,False
Denmark,4,0.1299800796812749,0.2599601593625498,0.6395771495690545,False
Maldives,4,0.5328685258964143,0.6250363078928665,0.4791061517542051,False
Switzerland,4,0.08515936254980083,0.17031872509960166,0.0,False
Mexico,4,0.0004980079681276006,0.0009960159362552012,0.9999947090786919,False
Pakistan,3,0.1341301460823375,0.20332391310677986,0.0,False
Poland,3,0.04183266932270927,0.06905391248111722,0.9946355018174314,False
Turkey,3,0.15006640106241687,0.2003288249906791,0.8194076284503424,False
Australia,3,0.26361221779548494,0.3836183102962921,0.9264184960027089,False
Canada,3,0.349269588313413,0.5780097109925608,-0.5034285170076664,False
Russia,3,0.06772908366533888,0.10955571636152543,0.9922841360794726,False
Spain,3,0.12815405046480746,0.22196932660079244,0.7782832812177584,False
Malaysia,2,0.01494023904382491,0.02112868868087323,0.0,False
Japan,2,0.0019920318725099584,0.0028171584907830554,0.0,False
Bangladesh,2,0.4721115537848606,0.6190381272945925,0.0,False
Brazil,2,0.3715139442231079,0.39788062920342854,0.0,False
UK,2,0.017928286852589626,0.025354426417047497,0.9974286122442501,False
Albania,1,0.0,0.0,,False
Czech Republic,1,1.00398406374502,1.00398406374502,,False
China,1,0.005976095617530319,0.005976095617530319,,False
Bahrain,1,0.0,0.0,,False
Oman,1,0.037848605577689654,0.037848605577689654,,False
Hong Kong,1,0.027888446215139417,0.027888446215139417,,False
Nepal,1,0.9641434262948207,0.9641434262948207,,False
Kyrgyzstan,1,0.1633466135458166,0.1633466135458166,,False
Estonia,1,0.8266932270916332,0.8266932270916332,,False
Slovenia,1,0.003984063745019917,0.003984063745019917,,False
Singapore,1,0.01792828685259007,0.01792828685259007,,False
San Marino,1,0.0,0.0,,False
Philippines,1,0.0,0.0,,False
Paraguay,1,0.0,0.0,,False
Peru,1,0.7888446215139444,0.7888446215139444,,False
Sri Lanka,1,0.019920318725099584,0.019920318725099584,,False
Ukraine,1,0.0019920318725104025,0.0019920318725104025,,False
